"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","salary"
2532842,"Nick Foles","PHI","QB",29,6,9,0.398855613570711,-0.104115088010513,0.946750173470227,0.58045369349839,38,0.0331212518137528,17,1.05086526148074,NA,39,3,9.3053524523236,NA,NA
2495240,"Tyrod Taylor","CLE","QB",29,7,11,0.393454456365182,0,0.907698254905469,0.487670039350653,39,0.064011177349928,18,0.907698254905469,NA,37.5,2.5,8.01886920412359,NA,NA
2556603,"Tre Madden","SEA","RB",25,2,7,0.392385279711266,0,0.784812422360248,0.4142236298954,111,0.000919603657932033,24,0.784812422360248,NA,90.3,4.5,5.28596024017905,NA,NA
2550542,"Kapri Bibbs","WAS","RB",25,4,4,0.392133208255159,0,0.783421739130435,0.567762217280241,112,0.0082524077911223,24,0.783421739130435,NA,90,5.6,6.07661519086805,NA,NA
2560756,"Justin Jackson","LAC","RB",23,0,8,0.390798143851508,0,1.03450434782609,0.561441541214144,113,0.0145079855850586,24,1.03450434782609,NA,95,9.2,7.99665008207878,NA,NA
2532841,"Michael Floyd","WAS","WR",29,6,4,0.385274551971326,0,0.818765988372093,0.469925225551308,160,0.0102052776449939,28,0.818765988372093,NA,NA,NA,NA,NA,NA
2540261,"Corey Fuller","NO","WR",28,5,6,0.378246656760773,0,0.595226744186047,0.523259018078045,161,0.0119781301696654,28,0.595226744186047,NA,NA,NA,NA,NA,NA
2534871,"Derrick Coleman","ARI","RB",28,6,9,0.376963457076566,0,0.723758054711246,0.376378034644341,114,0.0218590563170168,24,0.723758054711246,NA,89.7,5,5.50412983620665,NA,NA
2560862,"Jaylen Samuels","PIT","RB",22,0,7,0.375616859456333,-0.00705,0.860631914893617,0.518923893252662,115,0.0419832482494263,24,0.867681914893617,NA,76,8,7.29809073736977,NA,NA
2559241,"Travis Rudolph","FA","WR",NA,1,NA,0.371891891891892,0,0.798174418604651,0.664263919856507,162,0.0203360274428673,28,0.798174418604651,NA,NA,NA,NA,NA,NA
2550206,"Ryan Hewitt","IND","TE",27,4,9,0.366019571295433,0.16,0.605205775075988,0.363214116456056,82,0.0120586570867847,22,0.445205775075988,NA,80.5,7.6,7.22459065436592,NA,NA
2535687,"Michael Thomas","NYG","DB",29,6,9,0.361042524005487,0,0.622735562310031,0.565685424949238,223,0.0135390946502058,51,0.622735562310031,NA,NA,NA,NA,NA,NA
2559324,"Reggie Davis","FA","WR",23,1,NA,0.360645161290323,0,0.611302325581395,0.551543289325507,163,0.0221311924246134,28,0.611302325581395,NA,NA,NA,NA,NA,NA
2556416,"Anthony Lanier","WAS","DL",25,2,4,0.359834938101788,0,0.622140672782875,0.565685424949238,221,0.0331927543039331,48,0.622140672782875,NA,NA,NA,NA,NA,NA
2553536,"Troy Hill","LAR","DB",NA,NA,12,0.356529492455418,0,0.614951367781155,0.558614357137373,224,0.022565157750343,51,0.614951367781155,NA,NA,NA,NA,NA,NA
2550521,"Xavier Grimble","PIT","TE",26,4,7,0.355265724037055,0,0.612123404255319,0.262327541777813,83,0.0205476137917815,23,0.612123404255319,NA,71,9.9,8.34250928065111,NA,NA
2539995,"Mychal Rivera","FA","TE",28,5,NA,0.352656104380242,0,0.756889534883721,0.629905441243239,84,0.0562571310204837,23,0.756889534883721,NA,NA,NA,5.36136305253707,NA,NA
2556542,"Nicholas Grigsby","NE","LB",26,2,11,0.35201646090535,0,0.60716717325228,0.551543289325507,177,0.0146673525377229,47,0.60716717325228,NA,NA,NA,NA,NA,NA
2556673,"Brennan Scarlett","HOU","LB",25,2,10,0.35201646090535,0,0.60716717325228,0.551543289325507,177,0.038360768175583,47,0.60716717325228,NA,NA,NA,NA,NA,NA
2556517,"Ed Eagan","FA","WR",25,2,NA,0.342466567607727,0,0.538921511627907,0.473761543394987,164,0.0148876532821342,28,0.538921511627907,NA,NA,NA,NA,NA,NA
2560818,"Siran Neal","BUF","DB",24,0,11,0.338477366255144,0,0.583814589665654,0.530330085889911,225,0.0406172839506173,51,0.583814589665654,NA,NA,NA,NA,NA,NA
2539275,"Mike Glennon","ARI","QB",29,5,9,0.338014267148734,0,0.910962285566937,0.459291269232785,40,0.0198603337373088,18,0.910962285566937,NA,NA,NA,5.23822240447487,NA,NA
2557876,"Montravius Adams","GB","DL",24,1,7,0.337372159090909,0,0.611425531914894,0.373203508942197,222,0.0304860136862452,48,0.611425531914894,NA,NA,NA,NA,NA,NA
2536044,"Jamize Olawale","DAL","RB",29,6,8,0.334591942062765,0,0.562180434782609,0.292609704025442,116,0.00258465903009841,24,0.562180434782609,NA,NA,NA,4.11972541926708,NA,NA
2555477,"Charone Peake","NYJ","WR",26,2,11,0.334561370123692,0,0.735573913043479,0.618099447660633,165,0.0204186964155008,28,0.735573913043479,NA,NA,NA,NA,NA,NA
2559163,"Justin Davis","LAR","RB",NA,1,12,0.332675280351048,0,0.825736170212766,0.412780861898991,117,0.00253176989808651,24,0.825736170212766,NA,NA,NA,4.4350562494127,NA,NA
